,January,February,March,April,May,June,July,August,September,October,November,December,
Albacete,"323.0","307.0","329.0","318.0","335.0","335.0","358.0","340.0","327.0","315.0","322.0","343.0",
Alicante/Alacant,"1437.0","1338.0","1513.0","1334.0","1318.0","1369.0","1442.0","1589.0","1526.0","1521.0","1485.0","1374.0",
Almería,"693.0","619.0","662.0","641.0","643.0","637.0","707.0","751.0","748.0","769.0","709.0","720.0",
Araba/Álava,"259.0","256.0","286.0","249.0","290.0","311.0","278.0","318.0","298.0","316.0","290.0","276.0",
Asturias,"618.0","573.0","686.0","624.0","678.0","689.0","717.0","719.0","604.0","632.0","616.0","626.0",
Ávila,"110.0","105.0","135.0","111.0","124.0","119.0","94.0","118.0","116.0","99.0","102.0","111.0",
Badajoz,"559.0","494.0","565.0","551.0","501.0","550.0","599.0","569.0","565.0","592.0","573.0","505.0",
Balears; Illes,"925.0","925.0","938.0","878.0","906.0","902.0","887.0","981.0","967.0","992.0","981.0","983.0",
Barcelona,"4879.0","4632.0","5125.0","4559.0","5060.0","4784.0","5166.0","5139.0","4926.0","5196.0","4972.0","4881.0",
Bizkaia,"880.0","824.0","863.0","848.0","959.0","931.0","955.0","842.0","876.0","948.0","828.0","926.0",
Burgos,"206.0","258.0","276.0","283.0","288.0","306.0","295.0","291.0","272.0","312.0","273.0","244.0",
Cáceres,"263.0","235.0","291.0","256.0","268.0","266.0","278.0","273.0","294.0","319.0","285.0","287.0",
Cádiz,"1091.0","1017.0","1139.0","1052.0","990.0","998.0","1125.0","1163.0","1160.0","1197.0","1129.0","1171.0",
Cantabria,"409.0","419.0","428.0","412.0","434.0","445.0","469.0","531.0","463.0","437.0","465.0","432.0",
Castellón/Castelló,"484.0","494.0","550.0","495.0","480.0","543.0","504.0","525.0","470.0","543.0","504.0","523.0",
Ciudad Real,"412.0","422.0","411.0","377.0","402.0","427.0","456.0","473.0","424.0","386.0","436.0","422.0",
Córdoba,"686.0","640.0","650.0","689.0","624.0","592.0","681.0","699.0","686.0","670.0","646.0","656.0",
Coruña; A,"756.0","636.0","777.0","765.0","795.0","766.0","776.0","815.0","793.0","772.0","793.0","814.0",
Cuenca,"147.0","139.0","164.0","137.0","142.0","157.0","148.0","153.0","155.0","145.0","130.0","123.0",
Gipuzkoa,"563.0","535.0","624.0","576.0","654.0","560.0","638.0","598.0","569.0","647.0","525.0","559.0",
Girona,"692.0","691.0","685.0","677.0","702.0","686.0","718.0","753.0","763.0","735.0","703.0","709.0",
Granada,"825.0","642.0","773.0","759.0","734.0","754.0","810.0","778.0","762.0","814.0","819.0","790.0",
Guadalajara,"237.0","243.0","252.0","222.0","261.0","230.0","273.0","257.0","257.0","254.0","224.0","258.0",
Huelva,"432.0","439.0","469.0","439.0","445.0","449.0","473.0","464.0","496.0","508.0","457.0","432.0",
Huesca,"138.0","149.0","146.0","146.0","159.0","160.0","165.0","163.0","173.0","173.0","181.0","176.0",
Jaén,"535.0","500.0","536.0","472.0","529.0","506.0","539.0","531.0","513.0","496.0","520.0","510.0",
León,"265.0","254.0","276.0","262.0","301.0","250.0","290.0","312.0","298.0","271.0","268.0","286.0",
Lleida,"391.0","356.0","372.0","388.0","404.0","381.0","415.0","422.0","401.0","381.0","373.0","349.0",
Lugo,"174.0","180.0","191.0","182.0","183.0","181.0","190.0","194.0","177.0","175.0","169.0","190.0",
Madrid,"5647.0","5423.0","6117.0","5903.0","6513.0","6112.0","6133.0","6164.0","5914.0","6105.0","6143.0","5849.0",
Málaga,"1407.0","1378.0","1442.0","1343.0","1348.0","1251.0","1441.0","1539.0","1465.0","1515.0","1499.0","1450.0",
Murcia,"1473.0","1340.0","1424.0","1312.0","1435.0","1357.0","1479.0","1561.0","1452.0","1521.0","1523.0","1531.0",
Navarra,"555.0","497.0","572.0","576.0","587.0","564.0","583.0","639.0","528.0","556.0","560.0","530.0",
Ourense,"164.0","170.0","172.0","163.0","160.0","145.0","150.0","178.0","183.0","156.0","187.0","145.0",
Palencia,"97.0","115.0","130.0","100.0","100.0","98.0","102.0","89.0","98.0","109.0","84.0","105.0",
Palmas; Las,"809.0","800.0","781.0","716.0","680.0","667.0","734.0","775.0","763.0","774.0","807.0","823.0",
Pontevedra,"672.0","606.0","689.0","650.0","692.0","639.0","678.0","749.0","730.0","676.0","731.0","665.0",
Rioja; La,"256.0","247.0","283.0","283.0","279.0","259.0","274.0","296.0","243.0","259.0","239.0","254.0",
Salamanca,"207.0","190.0","215.0","227.0","238.0","229.0","225.0","250.0","220.0","226.0","201.0","223.0",
Santa Cruz de Tenerife,"660.0","640.0","682.0","679.0","691.0","635.0","681.0","693.0","755.0","742.0","712.0","724.0",
Segovia,"127.0","131.0","139.0","109.0","118.0","110.0","131.0","108.0","125.0","116.0","103.0","102.0",
Sevilla,"1864.0","1740.0","1866.0","1682.0","1779.0","1744.0","1981.0","1955.0","1903.0","1906.0","1844.0","1810.0",
Soria,"57.0","46.0","82.0","64.0","56.0","72.0","55.0","55.0","65.0","56.0","48.0","51.0",
Tarragona,"763.0","700.0","766.0","660.0","681.0","712.0","737.0","741.0","798.0","731.0","761.0","731.0",
Teruel,"86.0","86.0","98.0","90.0","103.0","86.0","112.0","119.0","112.0","98.0","113.0","94.0",
Toledo,"673.0","600.0","643.0","641.0","621.0","652.0","633.0","663.0","655.0","667.0","612.0","596.0",
Valencia/Valéncia,"2150.0","2160.0","2196.0","2074.0","2129.0","2061.0","2145.0","2322.0","2297.0","2251.0","2177.0","2123.0",
Valladolid,"377.0","353.0","405.0","354.0","420.0","376.0","459.0","442.0","385.0","421.0","384.0","381.0",
Zamora,"101.0","81.0","80.0","111.0","101.0","94.0","88.0","107.0","93.0","75.0","94.0","95.0",
Zaragoza,"741.0","787.0","794.0","751.0","809.0","753.0","819.0","827.0","818.0","813.0","795.0","777.0",
Ceuta,"107.0","83.0","84.0","88.0","74.0","90.0","96.0","101.0","123.0","91.0","125.0","104.0",
Melilla,"120.0","113.0","128.0","118.0","100.0","116.0","128.0","147.0","118.0","117.0","123.0","127.0",
