,January,February,March,April,May,June,July,August,September,October,November,December,
Albacete,"300.0","315.0","309.0","280.0","296.0","312.0","310.0","302.0","321.0","329.0","311.0","313.0",
Alicante/Alacant,"1478.0","1303.0","1404.0","1310.0","1343.0","1244.0","1407.0","1524.0","1449.0","1460.0","1373.0","1382.0",
Almería,"661.0","657.0","683.0","600.0","631.0","617.0","693.0","747.0","653.0","708.0","677.0","648.0",
Araba/Álava,"273.0","280.0","258.0","286.0","309.0","277.0","260.0","276.0","286.0","266.0","249.0","273.0",
Asturias,"626.0","604.0","648.0","617.0","661.0","643.0","710.0","680.0","588.0","626.0","598.0","621.0",
Ávila,"98.0","83.0","93.0","106.0","125.0","115.0","99.0","120.0","116.0","100.0","107.0","93.0",
Badajoz,"539.0","542.0","533.0","504.0","571.0","483.0","552.0","545.0","582.0","607.0","536.0","482.0",
Balears; Illes,"928.0","818.0","896.0","853.0","899.0","870.0","970.0","990.0","949.0","1014.0","913.0","902.0",
Barcelona,"4864.0","4623.0","4763.0","4629.0","4964.0","4502.0","4811.0","4732.0","4666.0","5033.0","4590.0","4462.0",
Bizkaia,"800.0","798.0","877.0","825.0","936.0","931.0","916.0","846.0","905.0","856.0","846.0","805.0",
Burgos,"259.0","241.0","272.0","264.0","279.0","271.0","258.0","267.0","290.0","270.0","209.0","243.0",
Cáceres,"288.0","235.0","275.0","245.0","248.0","247.0","238.0","256.0","219.0","212.0","263.0","221.0",
Cádiz,"1069.0","972.0","1104.0","967.0","994.0","1020.0","1034.0","1130.0","1175.0","1231.0","1108.0","1098.0",
Cantabria,"406.0","355.0","420.0","404.0","476.0","409.0","402.0","463.0","428.0","495.0","425.0","381.0",
Castellón/Castelló,"483.0","493.0","488.0","443.0","470.0","430.0","527.0","496.0","529.0","501.0","479.0","479.0",
Ciudad Real,"412.0","379.0","411.0","400.0","386.0","431.0","407.0","461.0","408.0","397.0","398.0","399.0",
Córdoba,"683.0","631.0","618.0","619.0","626.0","569.0","634.0","663.0","601.0","685.0","585.0","605.0",
Coruña; A,"764.0","667.0","762.0","747.0","776.0","732.0","813.0","766.0","722.0","795.0","746.0","702.0",
Cuenca,"136.0","137.0","123.0","128.0","154.0","125.0","140.0","133.0","143.0","130.0","145.0","106.0",
Gipuzkoa,"585.0","548.0","585.0","590.0","653.0","529.0","581.0","596.0","596.0","593.0","516.0","527.0",
Girona,"697.0","638.0","641.0","652.0","702.0","640.0","680.0","658.0","686.0","711.0","669.0","663.0",
Granada,"709.0","730.0","783.0","729.0","775.0","711.0","766.0","812.0","747.0","798.0","793.0","726.0",
Guadalajara,"256.0","211.0","245.0","236.0","243.0","239.0","239.0","248.0","264.0","224.0","227.0","211.0",
Huelva,"425.0","400.0","418.0","418.0","444.0","448.0","412.0","444.0","462.0","474.0","408.0","462.0",
Huesca,"155.0","143.0","171.0","142.0","159.0","163.0","156.0","171.0","165.0","139.0","168.0","167.0",
Jaén,"496.0","461.0","463.0","477.0","497.0","487.0","515.0","520.0","489.0","542.0","481.0","508.0",
León,"282.0","230.0","272.0","248.0","289.0","267.0","295.0","266.0","249.0","289.0","267.0","246.0",
Lleida,"393.0","366.0","349.0","355.0","368.0","365.0","376.0","383.0","358.0","386.0","359.0","341.0",
Lugo,"198.0","189.0","181.0","170.0","208.0","188.0","175.0","193.0","192.0","197.0","176.0","176.0",
Madrid,"5701.0","5385.0","5831.0","5894.0","6206.0","5882.0","6046.0","5877.0","5714.0","5950.0","5505.0","5383.0",
Málaga,"1445.0","1377.0","1377.0","1241.0","1342.0","1263.0","1390.0","1420.0","1491.0","1512.0","1380.0","1366.0",
Murcia,"1446.0","1248.0","1381.0","1218.0","1388.0","1368.0","1424.0","1483.0","1458.0","1499.0","1376.0","1393.0",
Navarra,"588.0","538.0","581.0","535.0","614.0","568.0","583.0","548.0","573.0","557.0","528.0","518.0",
Ourense,"168.0","143.0","154.0","158.0","168.0","152.0","168.0","173.0","155.0","191.0","136.0","167.0",
Palencia,"92.0","108.0","114.0","80.0","115.0","90.0","91.0","111.0","89.0","94.0","100.0","78.0",
Palmas; Las,"808.0","699.0","782.0","688.0","689.0","677.0","742.0","777.0","764.0","786.0","769.0","756.0",
Pontevedra,"678.0","642.0","699.0","662.0","725.0","619.0","636.0","671.0","647.0","680.0","656.0","606.0",
Rioja; La,"284.0","255.0","298.0","258.0","256.0","291.0","265.0","262.0","253.0","265.0","246.0","255.0",
Salamanca,"231.0","184.0","210.0","213.0","214.0","222.0","203.0","232.0","202.0","196.0","201.0","200.0",
Santa Cruz de Tenerife,"705.0","646.0","701.0","641.0","652.0","663.0","685.0","722.0","707.0","777.0","704.0","661.0",
Segovia,"123.0","101.0","115.0","98.0","114.0","112.0","109.0","125.0","108.0","118.0","118.0","78.0",
Sevilla,"1796.0","1674.0","1805.0","1680.0","1773.0","1651.0","1730.0","1802.0","1796.0","1876.0","1848.0","1714.0",
Soria,"65.0","61.0","72.0","60.0","54.0","54.0","65.0","48.0","77.0","61.0","51.0","39.0",
Tarragona,"688.0","702.0","690.0","639.0","734.0","627.0","716.0","743.0","755.0","723.0","709.0","637.0",
Teruel,"89.0","87.0","102.0","93.0","118.0","101.0","98.0","95.0","98.0","87.0","80.0","88.0",
Toledo,"596.0","604.0","657.0","607.0","645.0","597.0","608.0","648.0","614.0","636.0","578.0","562.0",
Valencia/València,"2141.0","2023.0","2063.0","1995.0","2076.0","1942.0","2066.0","2124.0","2135.0","2299.0","2099.0","2116.0",
Valladolid,"363.0","347.0","384.0","416.0","435.0","388.0","358.0","433.0","393.0","399.0","379.0","360.0",
Zamora,"92.0","95.0","79.0","106.0","99.0","105.0","96.0","105.0","78.0","97.0","76.0","89.0",
Zaragoza,"778.0","666.0","760.0","746.0","731.0","736.0","778.0","807.0","740.0","802.0","697.0","704.0",
Ceuta,"93.0","70.0","87.0","74.0","104.0","74.0","116.0","115.0","97.0","97.0","105.0","96.0",
Melilla,"127.0","112.0","114.0","124.0","116.0","118.0","125.0","126.0","149.0","149.0","115.0","141.0",
