,January,February,March,April,May,June,July,August,September,October,November,December,
Albacete,"318.0","300.0","331.0","299.0","329.0","294.0","342.0","374.0","358.0","361.0","406.0","339.0",
Alicante/Alacant,"1594.0","1340.0","1487.0","1364.0","1349.0","1405.0","1544.0","1533.0","1610.0","1613.0","1608.0","1740.0",
Almería,"775.0","609.0","659.0","654.0","641.0","630.0","726.0","744.0","788.0","785.0","777.0","724.0",
Araba/Álava,"299.0","233.0","285.0","301.0","285.0","297.0","280.0","253.0","280.0","281.0","258.0","296.0",
Asturias,"677.0","616.0","653.0","576.0","652.0","627.0","632.0","644.0","652.0","706.0","623.0","705.0",
Ávila,"129.0","93.0","110.0","114.0","109.0","130.0","118.0","127.0","110.0","133.0","122.0","113.0",
Badajoz,"523.0","491.0","571.0","601.0","583.0","535.0","598.0","583.0","548.0","582.0","555.0","630.0",
Balears; Illes,"999.0","875.0","967.0","912.0","929.0","930.0","985.0","1053.0","1077.0","1079.0","1036.0","1125.0",
Barcelona,"5061.0","4594.0","5107.0","4769.0","4988.0","4949.0","5150.0","5083.0","5237.0","5463.0","5194.0","5609.0",
Bizkaia,"876.0","778.0","857.0","851.0","913.0","835.0","909.0","866.0","927.0","969.0","888.0","932.0",
Burgos,"284.0","209.0","299.0","282.0","294.0","284.0","291.0","280.0","288.0","274.0","264.0","311.0",
Cáceres,"281.0","247.0","275.0","252.0","256.0","265.0","282.0","288.0","320.0","294.0","294.0","274.0",
Cádiz,"1173.0","1031.0","1144.0","1065.0","1099.0","1040.0","1168.0","1187.0","1152.0","1288.0","1182.0","1329.0",
Cantabria,"432.0","398.0","502.0","454.0","463.0","445.0","468.0","500.0","487.0","463.0","492.0","471.0",
Castellón/Castelló,"561.0","472.0","520.0","466.0","477.0","507.0","501.0","488.0","572.0","570.0","569.0","617.0",
Ciudad Real,"459.0","394.0","443.0","446.0","440.0","388.0","457.0","447.0","438.0","448.0","396.0","427.0",
Córdoba,"642.0","629.0","694.0","629.0","660.0","647.0","594.0","634.0","709.0","666.0","703.0","700.0",
Coruña; A,"771.0","734.0","797.0","773.0","762.0","741.0","717.0","756.0","858.0","832.0","770.0","861.0",
Cuenca,"148.0","128.0","143.0","143.0","144.0","140.0","134.0","143.0","155.0","165.0","166.0","182.0",
Gipuzkoa,"614.0","532.0","577.0","591.0","640.0","574.0","609.0","621.0","627.0","598.0","590.0","648.0",
Girona,"770.0","675.0","732.0","680.0","748.0","713.0","696.0","768.0","824.0","808.0","754.0","768.0",
Granada,"779.0","723.0","786.0","750.0","777.0","709.0","795.0","824.0","822.0","803.0","790.0","842.0",
Guadalajara,"239.0","228.0","252.0","254.0","267.0","239.0","269.0","252.0","292.0","255.0","270.0","278.0",
Huelva,"458.0","443.0","486.0","412.0","453.0","472.0","510.0","482.0","499.0","500.0","506.0","543.0",
Huesca,"207.0","142.0","175.0","136.0","152.0","170.0","178.0","157.0","164.0","170.0","176.0","168.0",
Jaén,"501.0","461.0","561.0","491.0","520.0","480.0","539.0","528.0","555.0","521.0","531.0","621.0",
León,"298.0","260.0","290.0","284.0","296.0","282.0","275.0","311.0","292.0","293.0","257.0","300.0",
Lleida,"414.0","357.0","412.0","368.0","386.0","385.0","436.0","391.0","440.0","430.0","404.0","436.0",
Lugo,"182.0","161.0","181.0","171.0","183.0","177.0","172.0","177.0","194.0","211.0","197.0","205.0",
Madrid,"5989.0","5466.0","6284.0","6222.0","6378.0","5939.0","6097.0","6105.0","6507.0","6533.0","5996.0","6362.0",
Málaga,"1471.0","1312.0","1388.0","1389.0","1374.0","1294.0","1444.0","1474.0","1590.0","1631.0","1512.0","1568.0",
Murcia,"1545.0","1326.0","1509.0","1367.0","1395.0","1384.0","1431.0","1497.0","1606.0","1677.0","1616.0","1686.0",
Navarra,"518.0","515.0","556.0","568.0","607.0","531.0","555.0","594.0","568.0","647.0","528.0","591.0",
Ourense,"191.0","152.0","173.0","169.0","172.0","152.0","198.0","159.0","168.0","167.0","188.0","165.0",
Palencia,"92.0","89.0","99.0","118.0","88.0","96.0","102.0","99.0","114.0","95.0","109.0","86.0",
Palmas; Las,"845.0","762.0","779.0","739.0","725.0","699.0","732.0","822.0","884.0","968.0","929.0","856.0",
Pontevedra,"667.0","636.0","681.0","678.0","683.0","628.0","702.0","752.0","727.0","758.0","723.0","775.0",
Rioja; La,"262.0","227.0","280.0","276.0","297.0","278.0","284.0","273.0","321.0","304.0","283.0","289.0",
Salamanca,"206.0","182.0","204.0","220.0","223.0","212.0","218.0","236.0","251.0","231.0","211.0","224.0",
Santa Cruz de Tenerife,"735.0","671.0","682.0","621.0","666.0","659.0","709.0","734.0","736.0","795.0","802.0","755.0",
Segovia,"108.0","112.0","102.0","133.0","135.0","138.0","106.0","118.0","138.0","131.0","112.0","113.0",
Sevilla,"1903.0","1673.0","1888.0","1890.0","1803.0","1734.0","1950.0","1941.0","2041.0","2059.0","2043.0","2079.0",
Soria,"48.0","46.0","66.0","69.0","71.0","70.0","60.0","72.0","75.0","65.0","40.0","66.0",
Tarragona,"810.0","695.0","779.0","700.0","768.0","694.0","775.0","811.0","835.0","846.0","822.0","834.0",
Teruel,"102.0","89.0","86.0","91.0","92.0","89.0","120.0","99.0","97.0","107.0","105.0","105.0",
Toledo,"610.0","584.0","672.0","634.0","643.0","669.0","709.0","704.0","733.0","647.0","639.0","634.0",
Valencia/Valéncia,"2318.0","2086.0","2292.0","1988.0","2104.0","2095.0","2297.0","2250.0","2289.0","2473.0","2429.0","2556.0",
Valladolid,"396.0","358.0","428.0","430.0","458.0","391.0","452.0","446.0","426.0","479.0","427.0","408.0",
Zamora,"92.0","83.0","100.0","109.0","95.0","97.0","87.0","97.0","99.0","104.0","89.0","130.0",
Zaragoza,"853.0","707.0","800.0","781.0","816.0","764.0","846.0","808.0","854.0","883.0","853.0","798.0",
Ceuta,"106.0","100.0","102.0","111.0","77.0","82.0","106.0","91.0","109.0","99.0","102.0","107.0",
